ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;КХТ-157 Телефон;;111.0;15;;https://optom-brend.ru/image/data/transfer//%D0%9A%D0%A5%D0%A2-157.jpg;"Телефон стационарный банка CocaColaZero"
;КХТ-153 Телефон;;111.0;15;;https://optom-brend.ru/image/data/transfer//%D0%9A%D0%A5%D0%A2-153.jpg;"Телефон стационарный банка Mango"
;КХТ-139 Телефон;;111.0;15;;https://optom-brend.ru/image/data/transfer//%D0%9A%D0%A5%D0%A2-139.jpg;"Телефон стационарный банка-сок"
;КХТ-138 Телефон;;111.0;15;;https://optom-brend.ru/image/data/transfer//%D0%9A%D0%A5%D0%A2-138.jpg;"Телефон стационарный банка Tropicana"
;КХТ-137 Телефон;;111.0;15;;https://optom-brend.ru/image/data/transfer//%D0%9A%D0%A5%D0%A2-137.jpg;"Телефон стационарный банка-сок, желтый"
;КХТ-136 Телефон;;111.0;15;;https://optom-brend.ru/image/data/transfer//%D0%9A%D0%A5%D0%A2-136.jpg;"Телефон стационарный банка-сок, коралл/розовый"
;КХТ-135 Телефон;;111.0;15;;https://optom-brend.ru/image/data/transfer//%D0%9A%D0%A5%D0%A2-135.jpg;"Телефон стационарный банка-сок, белый/т.синий"
;КХТ-132 Телефон;;111.0;15;;https://optom-brend.ru/image/data/transfer//%D0%9A%D0%A5%D0%A2-132.jpg;"Телефон стационарный банка пива Budweiser"
;КХТ-129 Телефон;;111.0;15;;https://optom-brend.ru/image/data/transfer//%D0%9A%D0%A5%D0%A2-129.jpg;"Телефон стационарный банка Pepsi"
;КХТ-128 Телефон;;111.0;15;;https://optom-brend.ru/image/data/transfer//%D0%9A%D0%A5%D0%A2-128.jpg;"Телефон стационарный банка CocaCola"
;КХТ-118 Телефон;;111.0;15;;https://optom-brend.ru/image/data/transfer//%D0%9A%D0%A5%D0%A2-118.jpg;"Телефон стационарный банка Schweppes"
;543-04 жилет женский;;200.0;15;;https://optom-brend.ru/image/data/transfer//543-04.jpg;"жилет женский т.розовый 42;жилет женский розовый 44;жилет женский голубой 44"
;Milasum *юбка белый 27;;65.0;15;;https://optom-brend.ru/image/data/3003nalichie/Milasum.jpg;"юбка белый 27"
;КХТ-152 *Телефон стационарный банка-сок зеленая;;111.0;15;;https://optom-brend.ru/image/data/3003nalichie/kxt152.jpg;"Телефон стационарный банка-сок зеленая"
;КХТ-150 *Телефон стационарный банка-сок фиолетовая;;111.0;15;;https://optom-brend.ru/image/data/3003nalichie/kxt150%D0%B7%D0%B5%D0%BB%D1%82%D0%B5%D0%BB.jpg;"Телефон стационарный банка-сок фиолетовая"
;B017 *Джинсы женские черный;;1190.0;15;;https://optom-brend.ru/image/data/3003nalichie/b017-12%D1%87%D0%B5%D1%80%D0%BD%D0%B2%D0%B0%D1%80.jpg;"Бриджи женские черный,размер 27;Бриджи женские черный,размер 26;Бриджи женские черный,размер 29;Джинсы женские черный,размер 28"
;7103129/58/062 Брюки для девочек;;36.0;15;;https://optom-brend.ru/image/data/3003nalichie/7103129-58-062.jpg;"7103129/58/062 Брюки бледно-розовый"
;7103129/51/062 Брюки для девоче;;36.0;15;;https://optom-brend.ru/image/data/3003nalichie/7103129-51-062.jpg;"7103129/51/062 Брюки светло-серый"
;7103129/51/068 Брюки для девочек;;36.0;15;;https://optom-brend.ru/image/data/3003nalichie/7103129-12.jpg;"7103129/51/068 Брюки светло-серый"
;T W4585.58 платье женское;;350.0;15;;https://optom-brend.ru/image/data/3003nalichie/3476822-1%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5%D1%82%D0%BE%D0%BC.jpg https://optom-brend.ru/image/no_image.jpg;"(708-2-coll) платье жен черный S;(708-2-coll) платье жен черный XS"
;324-DD-042 Брюки мужские;;200.0;15;;https://optom-brend.ru/image/data/3003nalichie/324dd042-12.jpg;"Брюки мужские классика серый 54;Брюки мужские классика серый 52"
;324-DC-044 Брюки мужские;;200.0;15;;https://optom-brend.ru/image/data/3003nalichie/324dc044-12.jpg;"Брюки мужские классика бежевый 58;Брюки мужские классика бежевый 50;Брюки мужские классика бежевый 54"
